genus,specific_epithet,scientific_name,common_name,spcode,usda_url
Juniperus,pinchotii,Juniperus pinchotii,Redberry Juniper,JUPI,https://plants.usda.gov/DocumentLibrary/plantguide/pdf/cs_jupi.pdf
Prosopis,glandulosa,Prosopis glandulosa,Honey Mesquite,PRGL2,https://plants.usda.gov/DocumentLibrary/plantguide/pdf/cs_prgl2.pdf
Rhus,trilobata,Rhus trilobata,Skunkbush sumac,RHTR,https://plants.usda.gov/DocumentLibrary/plantguide/pdf/cs_rhtr.pdf
Celtis,laevigata,Celtis laevigata,Netleaf hackberry,CELAR,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=CELAR
Prunus,angustifolia,Prunus angustifolia,Chickasaw plum,PRAN3,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=PRAN3
Quercus,virginiana,Quercus virginiana ,Live oak,QUVI,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=QUVI
Sophora ,secundiflora,Sophora secundiflora,Texas mountain laurel,SOSE3,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=SOSE3
Forestiera,pubescens,Forestiera pubescens,Elbowbush,FOPU2,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=FOPU2
Senegalia,berlandieri,Senegalia berlandieri,Guajillo,SEBE2,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=SEBE2
Juniperus ,ashei,Juniperus ashei,Asheâ€™s juniperus,JUAS,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=JUAS
