sample_id,spcode,wp,hour,time,date,final_weight
SVT12,JUPI,0,0,02:09:00 PM,07/16/2024,0.7322
SVT14,JUPI,0,0,02:12:00 PM,07/16/2024,0.9321
SVT11,JUPI,0,0,02:18:00 PM,07/16/2024,0.5452
SVT12,JUPI,0.62,1,03:09:00 PM,07/16/2024,0.7322
SVT14,JUPI,0.6,1,03:12:00 PM,07/16/2024,0.9321
SVT11,JUPI,0.15,1,03:18:00 PM,07/16/2024,0.5452
SVT12,JUPI,0.98,2,04:09:00 PM,07/16/2024,0.7322
SVT14,JUPI,0.87,2,04:12:00 PM,07/16/2024,0.9321
SVT11,JUPI,0.23,2,04:18:00 PM,07/16/2024,0.5452
SVT12,JUPI,1.37,3,05:09:00 PM,07/16/2024,0.7322
SVT14,JUPI,1.27,3,05:12:00 PM,07/16/2024,0.9321
SVT11,JUPI,0.31,3,05:18:00 PM,07/16/2024,0.5452
SVT12,JUPI,1.73,4,06:09:00 PM,07/16/2024,0.7322
SVT14,JUPI,1.6,4,06:12:00 PM,07/16/2024,0.9321
SVT11,JUPI,0.66,4,06:18:00 PM,07/16/2024,0.5452
SVT12,JUPI,2.03,5,07:09:00 PM,07/16/2024,0.7322
SVT14,JUPI,1.92,5,07:12:00 PM,07/16/2024,0.9321
SVT11,JUPI,1.41,5,07:18:00 PM,07/16/2024,0.5452
SVT12,JUPI,2.27,6,08:09:00 PM,07/16/2024,0.7322
SVT14,JUPI,2.24,6,08:12:00 PM,07/16/2024,0.9321
SVT11,JUPI,2.11,6,08:18:00 PM,07/16/2024,0.5452
SVT12,JUPI,2.45,7,09:09:00 PM,07/16/2024,0.7322
SVT14,JUPI,2.49,7,09:12:00 PM,07/16/2024,0.9321
SVT11,JUPI,2.73,7,09:18:00 PM,07/16/2024,0.5452
SVT12,JUPI,2.63,8,10:09:00 PM,07/16/2024,0.7322
SVT14,JUPI,2.75,8,10:12:00 PM,07/16/2024,0.9321
SVT11,JUPI,3.21,8,10:18:00 PM,07/16/2024,0.5452
SVT12,JUPI,2.77,9,11:09:00 PM,07/16/2024,0.7322
SVT14,JUPI,2.95,9,11:12:00 PM,07/16/2024,0.9321
SVT11,JUPI,3.47,9,11:18:00 PM,07/16/2024,0.5452
SVT12,JUPI,2.94,10,12:09:00 AM,07/17/2024,0.7322
SVT14,JUPI,3.22,10,12:12:00 AM,07/17/2024,0.9321
SVT11,JUPI,3.75,10,12:18:00 AM,07/17/2024,0.5452
SVT12,JUPI,3.1,11,01:09:00 AM,07/17/2024,0.7322
SVT14,JUPI,3.35,11,01:12:00 AM,07/17/2024,0.9321
SVT11,JUPI,3.98,11,01:18:00 AM,07/17/2024,0.5452
SVT12,JUPI,3.27,12,02:09:00 AM,07/17/2024,0.7322
SVT14,JUPI,3.62,12,02:12:00 AM,07/17/2024,0.9321
SVT11,JUPI,4.09,12,02:18:00 AM,07/17/2024,0.5452
SVT12,JUPI,3.4,13,03:09:00 AM,07/17/2024,0.7322
SVT14,JUPI,3.72,13,03:12:00 AM,07/17/2024,0.9321
SVT11,JUPI,4.19,13,03:18:00 AM,07/17/2024,0.5452
SVT12,JUPI,3.56,14,04:09:00 AM,07/17/2024,0.7322
SVT14,JUPI,3.93,14,04:12:00 AM,07/17/2024,0.9321
SVT11,JUPI,4.29,14,04:18:00 AM,07/17/2024,0.5452
SVT12,JUPI,3.84,15,05:09:00 AM,07/17/2024,0.7322
SVT14,JUPI,4.05,15,05:12:00 AM,07/17/2024,0.9321
SVT11,JUPI,4.44,15,05:18:00 AM,07/17/2024,0.5452
SVT12,JUPI,4.09,16,06:09:00 AM,07/17/2024,0.7322
SVT14,JUPI,4.31,16,06:12:00 AM,07/17/2024,0.9321
SVT11,JUPI,4.64,16,06:18:00 AM,07/17/2024,0.5452
SVT12,JUPI,4.2,17,07:09:00 AM,07/17/2024,0.7322
SVT14,JUPI,4.56,17,07:12:00 AM,07/17/2024,0.9321
SVT11,JUPI,4.8,17,07:18:00 AM,07/17/2024,0.5452
SVT12,JUPI,4.33,18,08:09:00 AM,07/17/2024,0.7322
SVT14,JUPI,4.68,18,08:12:00 AM,07/17/2024,0.9321
SVT11,JUPI,5.02,18,08:18:00 AM,07/17/2024,0.5452
SVT04,PRAN3,0,0,02:29:00 PM,07/16/2024,0.3151
SVT05,PRAN3,0,0,02:31:00 PM,07/16/2024,0.1292
SVT06,PRAN3,0,0,02:37:00 PM,07/16/2024,0.3967
SVT04,PRAN3,2.84,1,03:29:00 PM,07/16/2024,0.3151
SVT05,PRAN3,2.25,1,03:31:00 PM,07/16/2024,0.1292
SVT06,PRAN3,1.65,1,03:37:00 PM,07/16/2024,0.3967
SVT04,PRAN3,3.6,2,04:29:00 PM,07/16/2024,0.3151
SVT05,PRAN3,3.69,2,04:31:00 PM,07/16/2024,0.1292
SVT06,PRAN3,3.21,2,04:37:00 PM,07/16/2024,0.3967
SVT04,PRAN3,4.08,3,05:29:00 PM,07/16/2024,0.3151
SVT05,PRAN3,4.07,3,05:31:00 PM,07/16/2024,0.1292
SVT06,PRAN3,4.18,3,05:37:00 PM,07/16/2024,0.3967
SVT04,PRAN3,4.38,4,06:29:00 PM,07/16/2024,0.3151
SVT05,PRAN3,4.7,4,06:31:00 PM,07/16/2024,0.1292
SVT06,PRAN3,4.48,4,06:37:00 PM,07/16/2024,0.3967
SVT04,PRAN3,4.7,5,07:29:00 PM,07/16/2024,0.3151
SVT05,PRAN3,5.84,5,07:31:00 PM,07/16/2024,0.1292
SVT06,PRAN3,5.31,5,07:37:00 PM,07/16/2024,0.3967
SVT04,PRAN3,5.07,6,08:29:00 PM,07/16/2024,0.3151
SVT05,PRAN3,6.01,6,08:31:00 PM,07/16/2024,0.1292
SVT06,PRAN3,6.45,6,08:37:00 PM,07/16/2024,0.3967
SVT04,PRAN3,5.6,7,09:29:00 PM,07/16/2024,0.3151
SVT05,PRAN3,7,7,09:31:00 PM,07/16/2024,0.1292
SVT06,PRAN3,7,7,09:37:00 PM,07/16/2024,0.3967
SVT22,RHTR,0,0,02:20:00 PM,07/16/2024,0.5012
SVT23,RHTR,0,0,02:22:00 PM,07/16/2024,0.2208
SVT24,RHTR,0,0,02:27:00 PM,07/16/2024,0.1604
SVT22,RHTR,0.62,1,03:20:00 PM,07/16/2024,0.5012
SVT23,RHTR,0.36,1,03:22:00 PM,07/16/2024,0.2208
SVT24,RHTR,0.34,1,03:27:00 PM,07/16/2024,0.1604
SVT22,RHTR,1.32,2,04:20:00 PM,07/16/2024,0.5012
SVT23,RHTR,1.92,2,04:22:00 PM,07/16/2024,0.2208
SVT24,RHTR,1.48,2,04:27:00 PM,07/16/2024,0.1604
SVT22,RHTR,2.44,3,05:20:00 PM,07/16/2024,0.5012
SVT23,RHTR,2.48,3,05:22:00 PM,07/16/2024,0.2208
SVT24,RHTR,2.26,3,05:27:00 PM,07/16/2024,0.1604
SVT22,RHTR,3.24,4,06:20:00 PM,07/16/2024,0.5012
SVT23,RHTR,2.84,4,06:22:00 PM,07/16/2024,0.2208
SVT24,RHTR,2.59,4,06:27:00 PM,07/16/2024,0.1604
SVT22,RHTR,3.67,5,07:20:00 PM,07/16/2024,0.5012
SVT23,RHTR,3.1,5,07:22:00 PM,07/16/2024,0.2208
SVT24,RHTR,3.01,5,07:27:00 PM,07/16/2024,0.1604
SVT22,RHTR,4.05,6,08:20:00 PM,07/16/2024,0.5012
SVT23,RHTR,3.63,6,08:22:00 PM,07/16/2024,0.2208
SVT24,RHTR,3.38,6,08:27:00 PM,07/16/2024,0.1604
SVT22,RHTR,4.23,7,09:20:00 PM,07/16/2024,0.5012
SVT23,RHTR,4.01,7,09:22:00 PM,07/16/2024,0.2208
SVT24,RHTR,3.91,7,09:27:00 PM,07/16/2024,0.1604
SVT22,RHTR,4.47,8,10:20:00 PM,07/16/2024,0.5012
SVT23,RHTR,4.37,8,10:22:00 PM,07/16/2024,0.2208
SVT24,RHTR,4.26,8,10:27:00 PM,07/16/2024,0.1604
SVT22,RHTR,4.83,9,11:20:00 PM,07/16/2024,0.5012
SVT23,RHTR,4.61,9,11:22:00 PM,07/16/2024,0.2208
SVT24,RHTR,4.52,9,11:27:00 PM,07/16/2024,0.1604
SVT22,RHTR,5.2,10,12:20:00 AM,07/17/2024,0.5012
SVT23,RHTR,4.71,10,12:22:00 AM,07/17/2024,0.2208
SVT24,RHTR,4.78,10,12:27:00 AM,07/17/2024,0.1604
SVT22,RHTR,5.4,11,01:20:00 AM,07/17/2024,0.5012
SVT23,RHTR,4.96,11,01:22:00 AM,07/17/2024,0.2208
SVT24,RHTR,5.2,11,01:27:00 AM,07/17/2024,0.1604
SVT22,RHTR,5.83,12,02:20:00 AM,07/17/2024,0.5012
SVT23,RHTR,4.97,12,02:22:00 AM,07/17/2024,0.2208
SVT24,RHTR,5.38,12,02:27:00 AM,07/17/2024,0.1604
SVT22,RHTR,5.92,13,03:20:00 AM,07/17/2024,0.5012
SVT23,RHTR,5.1,13,03:22:00 AM,07/17/2024,0.2208
SVT24,RHTR,5.51,13,03:27:00 AM,07/17/2024,0.1604
SVT22,RHTR,6.16,14,04:20:00 AM,07/17/2024,0.5012
SVT23,RHTR,5.47,14,04:22:00 AM,07/17/2024,0.2208
SVT24,RHTR,5.74,14,04:27:00 AM,07/17/2024,0.1604
SVT22,RHTR,6.41,15,05:20:00 AM,07/17/2024,0.5012
SVT23,RHTR,5.66,15,05:22:00 AM,07/17/2024,0.2208
SVT24,RHTR,5.83,15,05:27:00 AM,07/17/2024,0.1604
SVT25,PRGL2,0,0,03:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,0,0,03:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,0,0,03:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,0.24,1,04:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,1.13,1,04:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,0.98,1,04:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,0.54,2,05:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,1.68,2,05:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,2.44,2,05:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,1.03,3,06:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,2.69,3,06:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,3.34,3,06:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,1.52,4,07:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,3.25,4,07:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,3.8,4,07:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,2.47,5,08:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,3.9,5,08:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,4.06,5,08:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,3.53,6,09:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,4.2,6,09:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,4.64,6,09:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,4.27,7,10:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,4.54,7,10:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,5.06,7,10:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,4.9,8,11:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,4.75,8,11:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,5.4,8,11:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,5.22,9,12:39:00 AM,07/17/2024,0.155
SVT27,PRGL2,4.96,9,12:42:00 AM,07/17/2024,0.271
SVT28,PRGL2,5.98,9,12:45:00 AM,07/17/2024,1.3637
SVT25,PRGL2,5.51,10,01:39:00 AM,07/17/2024,0.155
SVT27,PRGL2,5.21,10,01:42:00 AM,07/17/2024,0.271
SVT28,PRGL2,6.4,10,01:45:00 AM,07/17/2024,1.3637
SVT25,PRGL2,5.98,11,02:39:00 AM,07/17/2024,0.155
SVT27,PRGL2,5.35,11,02:42:00 AM,07/17/2024,0.271
SVT28,PRGL2,6.55,11,02:45:00 AM,07/17/2024,1.3637
